study_status,carstensen_name,jetz_name,operational_name,family,habitat,role,guild,module,module_area_Banda_Sea,module_area_Lesser_Sundas,module_area_Maluku,module_area_Sulawesi,island_area_Adonara,island_area_Alor,island_area_Ambelau,island_area_Ambon,island_area_Autauro,island_area_Bacan,island_area_Banda_islands,island_area_Banggai_islands,island_area_Barbar,island_area_Bisa,island_area_Boano,island_area_Bonerate,island_area_Buru,island_area_Butung_or_Buton,island_area_Damar_islands,island_area_Flores,island_area_Gomumu_island,island_area_Gorong_islands,island_area_Halmahera,island_area_Haruku,island_area_Kabaena,island_area_Kai_Islands,island_area_Kalaotoa_islands,island_area_Kasiruta,island_area_Kayoa,island_area_Kisar,island_area_Kofiau,island_area_Komodo,island_area_Lembeh,island_area_Leti_islands,island_area_Loloda_islands,island_area_Lomblen,island_area_Lombok,island_area_Lucipara_islands,island_area_Madu,island_area_Makian,island_area_Manadotua,island_area_Manipa,island_area_Manuk_island,island_area_Mare,island_area_Mayu_island,island_area_Miangas,island_area_Moa,island_area_Morotai,island_area_Moti,island_area_Muna,island_area_Muor,island_area_Nila,island_area_Nusa_Laut,island_area_Obi_islands,island_area_Padar,island_area_Palue_island,island_area_Pantar,island_area_Rau_island,island_area_Rinca,island_area_Romang_islands,island_area_Roti,island_area_Sangeang,island_area_Sangihe_Islands,island_area_Saparua,island_area_Satonda,island_area_Sawu,island_area_Selayar,island_area_Semau,island_area_Seram,island_area_Sermata_islands,island_area_Siau,island_area_Solor,island_area_Sula_islands,island_area_Sulawesi,island_area_Sumba,island_area_Sumbawa,island_area_Tobea_island,island_area_Togian_islands,island_area_Tukangbesi_islands,island_area_Talaud_islands,island_area_Taliabu_westernPartOf_Sula_Islands,island_area_Talisei_island,island_area_Tanahjampea,island_area_Tanimbar_Islands,island_area_Tayandu_islands,island_area_Ternate,island_area_Teun,island_area_Tidore,island_area_Tifore,island_area_Timor_island_whole,island_area_Tioor_or_Tiur,island_area_Watubela_Islands,island_area_Wetar,island_area_Widi_islands,node,links,r,l
included,Coracina fortis,Coracina fortis,Coracina.fortis,Campephagidae,2,Peripheral,Insectivores,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,1,0,-0.9360565542
non-informative habitat category,Coracina atriceps,Coracina atriceps,Coracina.atriceps,Campephagidae,6,Module hub,Insectivores,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,472,5,0,-0.0682959718
non-informative habitat category,Coracina schistacea,Coracina schistacea,Coracina.schistacea,Campephagidae,6,Module hub,Carnivore,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,4,0,0.1085708203
included,Coracina temminckii,Coracina temminckii,Coracina.temminckii,Campephagidae,1,Peripheral,Insectivores,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,1,0,-0.8508004278
included,Coracina bicolor,Coracina bicolor,Coracina.bicolor,Campephagidae,5,Module hub,Insectivores,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,8,0,1.3877324844
non-informative habitat category,Coracina leucopygia,Coracina leucopygia,Coracina.leucopygia,Campephagidae,6,Module hub,Insectivores,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,477,10,0,2.0273133165
non-informative habitat category,Coracina papuensis,Coracina papuensis,Coracina.papuensis,Campephagidae,6,Peripheral,Insectivores,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,478,2,0,-0.7165140553
included,Coracina parvula,Coracina parvula,Coracina.parvula,Campephagidae,1,Peripheral,Insectivores,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,1,0,-0.9360565542
included,Coracina abbotti,Coracina abbotti,Coracina.abbotti,Campephagidae,1,Peripheral,Insectivores,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,1,0,-0.8508004278
included,Coracina dohertyi,Coracina dohertyi,Coracina.dohertyi,Campephagidae,1,Peripheral,Insectivores,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,3,0,-0.4918856823
included,Coracina dispar,Coracina dispar,Coracina.dispar,Campephagidae,2,Module hub,Insectivores,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,482,8,0.21875,0.2449425045
included,Coracina tenuirostris,Coracina tenuirostris,Coracina.tenuirostris,Campephagidae,5,Module hub,Insectivores,4,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,483,10,0.62,-0.0682959718
included,Coracina morio,Coracina morio,Coracina.morio,Campephagidae,2,Module hub,Insectivores,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,8,0,1.3877324844
non-informative habitat category,Coracina sula,Coracina sula,Coracina.sula,Campephagidae,6,Module hub,Insectivores,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,3,0,-0.2112195958
included,Coracina ceramensis,Coracina ceramensis,Coracina.ceramensis,Campephagidae,2,Module hub,Insectivores,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,5,0,-0.0682959718
included,Coracina schisticeps,Coracina schisticeps,Coracina.schisticeps,Campephagidae,2,Peripheral,Frugivores,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,2,0,-0.5310100118
